Wind Direction(compass),Wind Gust(mph),Screen Relative Humidity(%),Pressure(hpa),Wind Speed(mph),Temperature(C),Visibility(m),Weather Type,Pressure Tendency,Dew Point(C),Minutes Since 12o Clock,day,month,year,Wind Direction(compass) (t+1),Pressure(hpa) (t+1),Wind Speed(mph) (t+1),Temperature(C) (t+1),Visibility(m) (t+1),Weather Type (t+1)
9,16.0,82.7,1010.0,10.0,19.2,30000.0,8,0,16.2,540,14,8,2023,9.0,1010.0,13.0,19.9,28000.0,8.0
9,23.0,75.2,1010.0,13.0,19.9,28000.0,8,0,15.4,600,14,8,2023,9.0,1009.0,14.0,21.4,30000.0,8.0
9,22.0,69.4,1009.0,14.0,21.4,30000.0,8,0,15.6,660,14,8,2023,9.0,1009.0,15.0,22.4,30000.0,8.0
9,24.0,70.1,1009.0,15.0,22.4,30000.0,8,0,16.7,720,14,8,2023,9.0,1009.0,16.0,20.1,35000.0,8.0
9,26.0,76.7,1009.0,16.0,20.1,35000.0,8,0,15.9,780,14,8,2023,9.0,1009.0,15.0,19.2,30000.0,12.0
9,23.0,84.3,1009.0,15.0,19.2,30000.0,12,0,16.5,840,14,8,2023,9.0,1009.0,14.0,19.3,24000.0,8.0
9,24.0,83.8,1009.0,14.0,19.3,24000.0,8,1,16.5,900,14,8,2023,10.0,1010.0,16.0,19.4,29000.0,12.0
10,24.0,86.0,1010.0,16.0,19.4,29000.0,12,1,17.0,960,14,8,2023,10.0,1010.0,16.0,19.4,29000.0,12.0
10,24.0,86.0,1010.0,16.0,19.4,29000.0,12,1,17.0,960,14,8,2023,9.0,1009.0,15.0,19.8,40000.0,7.0
9,23.0,77.2,1009.0,15.0,19.8,40000.0,7,1,15.7,1020,14,8,2023,9.0,1009.0,15.0,19.8,40000.0,7.0
9,23.0,77.2,1009.0,15.0,19.8,40000.0,7,1,15.7,1020,14,8,2023,10.0,1010.0,15.0,19.6,45000.0,8.0
10,23.0,75.6,1010.0,15.0,19.6,45000.0,8,1,15.2,1080,14,8,2023,10.0,1010.0,15.0,19.6,45000.0,8.0
10,23.0,75.6,1010.0,15.0,19.6,45000.0,8,1,15.2,1080,14,8,2023,10.0,1010.0,13.0,18.8,35000.0,8.0
10,19.0,78.5,1010.0,13.0,18.8,35000.0,8,1,15.0,1140,14,8,2023,10.0,1011.0,13.0,18.1,40000.0,8.0
10,18.0,82.0,1011.0,13.0,18.1,40000.0,8,1,15.0,1200,14,8,2023,10.0,1011.0,10.0,17.4,30000.0,2.0
10,16.0,85.7,1011.0,10.0,17.4,30000.0,2,1,15.0,1260,14,8,2023,11.0,1012.0,8.0,16.9,29000.0,8.0
11,16.0,89.1,1012.0,8.0,16.9,29000.0,8,1,15.1,1320,14,8,2023,11.0,1012.0,5.0,15.9,27000.0,7.0
11,11.0,91.4,1012.0,5.0,15.9,27000.0,7,1,14.5,1380,14,8,2023,13.0,1012.0,3.0,15.6,30000.0,0.0
13,7.0,88.4,1012.0,3.0,15.6,30000.0,0,1,13.7,0,15,8,2023,11.0,1012.0,5.0,14.1,45000.0,0.0
11,8.0,86.0,1012.0,5.0,14.1,45000.0,0,1,11.8,60,15,8,2023,12.0,1012.0,5.0,13.7,40000.0,0.0
12,8.0,88.8,1012.0,5.0,13.7,40000.0,0,1,11.9,120,15,8,2023,13.0,1013.0,6.0,13.1,35000.0,0.0
13,8.0,91.1,1013.0,6.0,13.1,35000.0,0,1,11.7,180,15,8,2023,11.0,1013.0,6.0,12.7,35000.0,0.0
11,8.0,93.6,1013.0,6.0,12.7,35000.0,0,1,11.7,240,15,8,2023,11.0,1013.0,6.0,12.5,30000.0,1.0
11,9.0,94.2,1013.0,6.0,12.5,30000.0,1,1,11.6,300,15,8,2023,10.0,1014.0,7.0,13.6,35000.0,1.0
10,10.0,91.8,1014.0,7.0,13.6,35000.0,1,1,12.3,360,15,8,2023,12.0,1015.0,5.0,15.0,35000.0,1.0
12,11.0,89.5,1015.0,5.0,15.0,35000.0,1,1,13.3,420,15,8,2023,12.0,1015.0,7.0,16.8,35000.0,1.0
12,10.0,83.4,1015.0,7.0,16.8,35000.0,1,1,14.0,480,15,8,2023,13.0,1016.0,8.0,18.4,40000.0,1.0
13,13.0,74.4,1016.0,8.0,18.4,40000.0,1,1,13.8,540,15,8,2023,13.0,1016.0,9.0,19.1,45000.0,7.0
13,15.0,70.3,1016.0,9.0,19.1,45000.0,7,1,13.6,600,15,8,2023,12.0,1016.0,8.0,20.9,50000.0,1.0
12,16.0,67.1,1016.0,8.0,20.9,50000.0,1,1,14.6,660,15,8,2023,11.0,1016.0,9.0,22.8,45000.0,3.0
11,19.0,54.8,1016.0,9.0,22.8,45000.0,3,2,13.3,720,15,8,2023,13.0,1016.0,9.0,23.0,50000.0,3.0
13,16.0,56.3,1016.0,9.0,23.0,50000.0,3,1,13.9,780,15,8,2023,12.0,1016.0,7.0,24.1,65000.0,1.0
12,14.0,48.0,1016.0,7.0,24.1,65000.0,1,1,12.5,840,15,8,2023,14.0,1016.0,7.0,23.7,60000.0,8.0
14,14.0,47.3,1016.0,7.0,23.7,60000.0,8,1,11.9,900,15,8,2023,13.0,1016.0,7.0,24.2,60000.0,7.0
13,14.0,47.1,1016.0,7.0,24.2,60000.0,7,1,12.3,960,15,8,2023,13.0,1016.0,7.0,24.2,60000.0,7.0
13,14.0,47.1,1016.0,7.0,24.2,60000.0,7,1,12.3,960,15,8,2023,12.0,1016.0,7.0,23.2,55000.0,8.0
12,14.0,52.1,1016.0,7.0,23.2,55000.0,8,1,12.9,1020,15,8,2023,10.0,1017.0,8.0,21.9,45000.0,8.0
10,14.0,61.8,1017.0,8.0,21.9,45000.0,8,1,14.3,1080,15,8,2023,10.0,1017.0,13.0,21.0,40000.0,8.0
10,24.0,68.3,1017.0,13.0,21.0,40000.0,8,1,15.0,1140,15,8,2023,10.0,1018.0,11.0,20.1,45000.0,8.0
10,18.0,69.5,1018.0,11.0,20.1,45000.0,8,1,14.4,1200,15,8,2023,11.0,1018.0,10.0,18.9,45000.0,2.0
11,16.0,70.7,1018.0,10.0,18.9,45000.0,2,1,13.5,1260,15,8,2023,13.0,1019.0,7.0,18.3,35000.0,0.0
13,13.0,76.9,1019.0,7.0,18.3,35000.0,0,1,14.2,1320,15,8,2023,13.0,1019.0,6.0,17.9,30000.0,8.0
13,13.0,79.3,1019.0,6.0,17.9,30000.0,8,1,14.3,1380,15,8,2023,14.0,1019.0,2.0,16.2,27000.0,0.0
14,9.0,86.2,1019.0,2.0,16.2,27000.0,0,1,13.9,0,16,8,2023,1.0,1019.0,2.0,15.7,28000.0,0.0
1,3.0,89.5,1019.0,2.0,15.7,28000.0,0,1,14.0,60,16,8,2023,1.0,1019.0,0.0,14.8,25000.0,0.0
1,5.0,91.3,1019.0,0.0,14.8,25000.0,0,1,13.4,120,16,8,2023,15.0,1019.0,3.0,14.7,29000.0,0.0
15,5.0,91.9,1019.0,3.0,14.7,29000.0,0,1,13.4,180,16,8,2023,16.0,1020.0,1.0,13.6,28000.0,0.0
16,5.0,92.4,1020.0,1.0,13.6,28000.0,0,1,12.4,240,16,8,2023,1.0,1020.0,3.0,14.1,30000.0,1.0
1,6.0,88.9,1020.0,3.0,14.1,30000.0,1,1,12.3,300,16,8,2023,15.0,1020.0,3.0,14.3,23000.0,1.0
15,6.0,88.8,1020.0,3.0,14.3,23000.0,1,1,12.5,360,16,8,2023,2.0,1020.0,5.0,16.7,35000.0,1.0
2,7.0,80.7,1020.0,5.0,16.7,35000.0,1,1,13.4,420,16,8,2023,1.0,1021.0,2.0,18.3,35000.0,1.0
1,9.0,73.8,1021.0,2.0,18.3,35000.0,1,1,13.6,480,16,8,2023,1.0,1021.0,3.0,20.8,35000.0,1.0
1,8.0,62.7,1021.0,3.0,20.8,35000.0,1,1,13.5,540,16,8,2023,1.0,1020.0,3.0,22.2,40000.0,1.0
1,9.0,59.4,1020.0,3.0,22.2,40000.0,1,1,14.0,600,16,8,2023,1.0,1020.0,5.0,23.4,19000.0,3.0
1,9.0,54.8,1020.0,5.0,23.4,19000.0,3,0,13.9,660,16,8,2023,4.0,1020.0,2.0,23.9,40000.0,7.0
4,9.0,52.5,1020.0,2.0,23.9,40000.0,7,0,13.7,720,16,8,2023,1.0,1020.0,5.0,25.6,50000.0,3.0
1,13.0,48.1,1020.0,5.0,25.6,50000.0,3,0,13.9,780,16,8,2023,4.0,1019.0,5.0,25.1,45000.0,3.0
4,10.0,44.8,1019.0,5.0,25.1,45000.0,3,0,12.4,840,16,8,2023,4.0,1019.0,6.0,24.6,45000.0,8.0
4,13.0,44.7,1019.0,6.0,24.6,45000.0,8,0,11.9,900,16,8,2023,5.0,1019.0,7.0,25.5,50000.0,8.0
5,13.0,43.8,1019.0,7.0,25.5,50000.0,8,0,12.4,960,16,8,2023,5.0,1019.0,7.0,25.5,50000.0,8.0
5,13.0,43.8,1019.0,7.0,25.5,50000.0,8,0,12.4,960,16,8,2023,5.0,1019.0,10.0,23.9,55000.0,8.0
5,15.0,42.1,1019.0,10.0,23.9,55000.0,8,0,10.4,1020,16,8,2023,5.0,1019.0,9.0,22.9,60000.0,1.0
5,14.0,43.9,1019.0,9.0,22.9,60000.0,1,0,10.1,1080,16,8,2023,5.0,1019.0,13.0,21.5,65000.0,1.0
5,17.0,42.0,1019.0,13.0,21.5,65000.0,1,1,8.2,1140,16,8,2023,5.0,1020.0,10.0,19.5,60000.0,0.0
5,16.0,51.0,1020.0,10.0,19.5,60000.0,0,1,9.2,1200,16,8,2023,5.0,1020.0,9.0,18.3,60000.0,0.0
5,16.0,54.6,1020.0,9.0,18.3,60000.0,0,1,9.1,1260,16,8,2023,5.0,1021.0,8.0,16.8,28000.0,0.0
5,18.0,77.6,1021.0,8.0,16.8,28000.0,0,1,12.9,1320,16,8,2023,5.0,1021.0,6.0,16.8,20000.0,0.0
5,13.0,84.5,1021.0,6.0,16.8,20000.0,0,1,14.2,1380,16,8,2023,3.0,1021.0,5.0,16.6,20000.0,0.0
3,7.0,85.6,1021.0,5.0,16.6,20000.0,0,1,14.2,0,17,8,2023,2.0,1021.0,3.0,16.0,17000.0,7.0
2,8.0,87.8,1021.0,3.0,16.0,17000.0,7,0,14.0,60,17,8,2023,2.0,1020.0,6.0,15.8,11000.0,0.0
2,10.0,89.5,1020.0,6.0,15.8,11000.0,0,0,14.1,120,17,8,2023,3.0,1020.0,6.0,15.6,11000.0,0.0
3,11.0,91.9,1020.0,6.0,15.6,11000.0,0,0,14.3,180,17,8,2023,3.0,1020.0,6.0,15.5,11000.0,0.0
3,9.0,93.8,1020.0,6.0,15.5,11000.0,0,0,14.5,240,17,8,2023,3.0,1020.0,3.0,15.4,12000.0,1.0
3,9.0,93.7,1020.0,3.0,15.4,12000.0,1,0,14.4,300,17,8,2023,3.0,1020.0,5.0,16.4,15000.0,1.0
3,7.0,93.1,1020.0,5.0,16.4,15000.0,1,2,15.3,360,17,8,2023,4.0,1020.0,9.0,18.4,20000.0,1.0
4,15.0,84.2,1020.0,9.0,18.4,20000.0,1,2,15.7,420,17,8,2023,4.0,1020.0,8.0,19.3,22000.0,7.0
4,15.0,81.1,1020.0,8.0,19.3,22000.0,7,1,16.0,480,17,8,2023,5.0,1020.0,14.0,20.0,27000.0,8.0
5,19.0,75.6,1020.0,14.0,20.0,27000.0,8,0,15.6,540,17,8,2023,5.0,1020.0,14.0,20.6,30000.0,7.0
5,24.0,67.4,1020.0,14.0,20.6,30000.0,7,0,14.4,600,17,8,2023,5.0,1020.0,13.0,21.5,35000.0,8.0
5,25.0,62.9,1020.0,13.0,21.5,35000.0,8,0,14.2,660,17,8,2023,4.0,1019.0,13.0,24.1,35000.0,7.0
4,21.0,58.0,1019.0,13.0,24.1,35000.0,7,0,15.4,720,17,8,2023,5.0,1019.0,11.0,23.7,35000.0,8.0
5,25.0,56.4,1019.0,11.0,23.7,35000.0,8,0,14.6,780,17,8,2023,5.0,1018.0,13.0,23.2,40000.0,1.0
5,19.0,57.5,1018.0,13.0,23.2,40000.0,1,0,14.4,840,17,8,2023,5.0,1018.0,14.0,23.4,40000.0,7.0
5,21.0,55.6,1018.0,14.0,23.4,40000.0,7,0,14.1,900,17,8,2023,5.0,1018.0,14.0,22.5,45000.0,7.0
5,24.0,51.9,1018.0,14.0,22.5,45000.0,7,0,12.2,960,17,8,2023,5.0,1018.0,14.0,22.5,45000.0,7.0
5,24.0,51.9,1018.0,14.0,22.5,45000.0,7,0,12.2,960,17,8,2023,5.0,1017.0,13.0,21.9,45000.0,8.0
5,22.0,56.0,1017.0,13.0,21.9,45000.0,8,0,12.8,1020,17,8,2023,5.0,1017.0,15.0,21.0,45000.0,7.0
5,22.0,58.0,1017.0,15.0,21.0,45000.0,7,0,12.5,1080,17,8,2023,5.0,1017.0,13.0,19.5,45000.0,1.0
5,21.0,62.5,1017.0,13.0,19.5,45000.0,1,0,12.2,1140,17,8,2023,5.0,1018.0,13.0,18.6,40000.0,7.0
5,21.0,69.2,1018.0,13.0,18.6,40000.0,7,1,12.9,1200,17,8,2023,5.0,1018.0,10.0,17.9,30000.0,8.0
5,17.0,78.3,1018.0,10.0,17.9,30000.0,8,1,14.1,1260,17,8,2023,4.0,1017.0,10.0,18.2,25000.0,8.0
4,19.0,78.9,1017.0,10.0,18.2,25000.0,8,1,14.5,1320,17,8,2023,4.0,1017.0,9.0,18.1,24000.0,8.0
4,22.0,80.9,1017.0,9.0,18.1,24000.0,8,0,14.8,1380,17,8,2023,4.0,1017.0,9.0,18.3,22000.0,8.0
4,16.0,82.0,1017.0,9.0,18.3,22000.0,8,0,15.2,0,18,8,2023,5.0,1017.0,8.0,18.4,20000.0,8.0
5,15.0,83.7,1017.0,8.0,18.4,20000.0,8,0,15.6,60,18,8,2023,4.0,1016.0,9.0,18.7,19000.0,8.0
4,17.0,82.6,1016.0,9.0,18.7,19000.0,8,0,15.7,120,18,8,2023,4.0,1016.0,7.0,18.6,12000.0,12.0
4,14.0,84.7,1016.0,7.0,18.6,12000.0,12,0,16.0,180,18,8,2023,4.0,1015.0,8.0,18.7,19000.0,8.0
4,16.0,84.2,1015.0,8.0,18.7,19000.0,8,0,16.0,240,18,8,2023,4.0,1015.0,7.0,18.7,16000.0,8.0
4,11.0,84.2,1015.0,7.0,18.7,16000.0,8,0,16.0,300,18,8,2023,5.0,1014.0,9.0,18.9,11000.0,8.0
5,16.0,84.8,1014.0,9.0,18.9,11000.0,8,0,16.3,360,18,8,2023,5.0,1014.0,13.0,18.9,11000.0,8.0
5,21.0,83.2,1014.0,13.0,18.9,11000.0,8,0,16.0,420,18,8,2023,6.0,1015.0,10.0,18.3,5000.0,12.0
6,15.0,89.8,1015.0,10.0,18.3,5000.0,12,1,16.6,480,18,8,2023,5.0,1015.0,8.0,18.4,5000.0,12.0
5,15.0,92.7,1015.0,8.0,18.4,5000.0,12,1,17.2,540,18,8,2023,5.0,1014.0,8.0,18.5,4100.0,15.0
5,15.0,91.5,1014.0,8.0,18.5,4100.0,15,0,17.1,600,18,8,2023,4.0,1013.0,8.0,19.3,6000.0,12.0
4,16.0,89.9,1013.0,8.0,19.3,6000.0,12,0,17.6,660,18,8,2023,5.0,1013.0,14.0,20.9,8000.0,8.0
5,21.0,82.9,1013.0,14.0,20.9,8000.0,8,0,17.9,720,18,8,2023,5.0,1012.0,14.0,22.7,16000.0,8.0
5,23.0,69.2,1012.0,14.0,22.7,16000.0,8,0,16.8,780,18,8,2023,5.0,1012.0,11.0,23.4,12000.0,8.0
5,21.0,69.4,1012.0,11.0,23.4,12000.0,8,0,17.5,840,18,8,2023,5.0,1011.0,13.0,23.8,12000.0,1.0
5,23.0,66.5,1011.0,13.0,23.8,12000.0,1,0,17.2,900,18,8,2023,5.0,1010.0,13.0,23.8,11000.0,7.0
5,19.0,69.9,1010.0,13.0,23.8,11000.0,7,0,18.0,960,18,8,2023,5.0,1010.0,13.0,23.8,11000.0,7.0
5,19.0,69.9,1010.0,13.0,23.8,11000.0,7,0,18.0,960,18,8,2023,5.0,1010.0,11.0,22.6,9000.0,8.0
5,19.0,72.4,1010.0,11.0,22.6,9000.0,8,0,17.4,1020,18,8,2023,5.0,1010.0,11.0,21.9,7000.0,5.0
5,21.0,76.5,1010.0,11.0,21.9,7000.0,5,0,17.6,1080,18,8,2023,5.0,1009.0,11.0,21.2,5000.0,5.0
5,19.0,79.4,1009.0,11.0,21.2,5000.0,5,0,17.5,1140,18,8,2023,5.0,1009.0,10.0,20.6,4900.0,5.0
5,18.0,83.4,1009.0,10.0,20.6,4900.0,5,0,17.7,1200,18,8,2023,5.0,1009.0,8.0,19.9,3600.0,12.0
5,16.0,89.9,1009.0,8.0,19.9,3600.0,12,0,18.2,1260,18,8,2023,6.0,1009.0,8.0,19.7,2300.0,12.0
6,16.0,96.3,1009.0,8.0,19.7,2300.0,12,0,19.1,1320,18,8,2023,5.0,1008.0,8.0,19.9,2100.0,8.0
5,14.0,96.9,1008.0,8.0,19.9,2100.0,8,0,19.4,1380,18,8,2023,6.0,1008.0,10.0,20.2,2400.0,12.0
6,14.0,97.6,1008.0,10.0,20.2,2400.0,12,0,19.8,0,19,8,2023,9.0,1008.0,13.0,20.7,30000.0,12.0
9,19.0,87.2,1008.0,13.0,20.7,30000.0,12,0,18.5,60,19,8,2023,10.0,1008.0,13.0,20.0,30000.0,8.0
10,18.0,87.1,1008.0,13.0,20.0,30000.0,8,1,17.8,120,19,8,2023,10.0,1008.0,11.0,19.3,30000.0,8.0
10,18.0,86.0,1008.0,11.0,19.3,30000.0,8,1,16.9,180,19,8,2023,10.0,1009.0,14.0,18.3,30000.0,7.0
10,19.0,84.7,1009.0,14.0,18.3,30000.0,7,1,15.7,240,19,8,2023,10.0,1009.0,8.0,17.6,10000.0,8.0
10,19.0,87.5,1009.0,8.0,17.6,10000.0,8,1,15.5,300,19,8,2023,10.0,1010.0,13.0,17.9,13000.0,8.0
10,18.0,83.6,1010.0,13.0,17.9,13000.0,8,1,15.1,360,19,8,2023,10.0,1011.0,13.0,18.5,14000.0,8.0
10,23.0,81.0,1011.0,13.0,18.5,14000.0,8,1,15.2,420,19,8,2023,10.0,1012.0,11.0,19.1,12000.0,8.0
10,18.0,79.6,1012.0,11.0,19.1,12000.0,8,1,15.5,480,19,8,2023,11.0,1013.0,11.0,19.5,4600.0,12.0
11,19.0,78.6,1013.0,11.0,19.5,4600.0,12,1,15.7,540,19,8,2023,11.0,1013.0,13.0,19.6,8000.0,12.0
11,19.0,75.1,1013.0,13.0,19.6,8000.0,12,1,15.1,600,19,8,2023,11.0,1013.0,13.0,23.2,8000.0,1.0
11,21.0,62.2,1013.0,13.0,23.2,8000.0,1,1,15.6,660,19,8,2023,10.0,1014.0,17.0,23.3,3200.0,3.0
10,26.0,51.4,1014.0,17.0,23.3,3200.0,3,1,12.8,720,19,8,2023,10.0,1015.0,17.0,24.0,13000.0,8.0
10,26.0,58.8,1015.0,17.0,24.0,13000.0,8,1,15.5,780,19,8,2023,10.0,1015.0,16.0,24.3,40000.0,8.0
10,25.0,53.8,1015.0,16.0,24.3,40000.0,8,1,14.4,840,19,8,2023,11.0,1016.0,21.0,24.2,50000.0,1.0
11,28.0,53.7,1016.0,21.0,24.2,50000.0,1,1,14.3,900,19,8,2023,10.0,1016.0,16.0,23.0,35000.0,3.0
10,29.0,57.0,1016.0,16.0,23.0,35000.0,3,1,14.1,960,19,8,2023,10.0,1016.0,16.0,23.0,35000.0,3.0
10,29.0,57.0,1016.0,16.0,23.0,35000.0,3,1,14.1,960,19,8,2023,10.0,1016.0,17.0,22.6,40000.0,3.0
10,29.0,59.2,1016.0,17.0,22.6,40000.0,3,1,14.3,1020,19,8,2023,10.0,1017.0,17.0,21.5,35000.0,1.0
10,25.0,62.5,1017.0,17.0,21.5,35000.0,1,1,14.1,1080,19,8,2023,10.0,1017.0,13.0,20.2,35000.0,1.0
10,23.0,67.7,1017.0,13.0,20.2,35000.0,1,1,14.1,1140,19,8,2023,10.0,1018.0,11.0,18.9,30000.0,0.0
10,19.0,73.0,1018.0,11.0,18.9,30000.0,0,1,14.0,1200,19,8,2023,10.0,1019.0,9.0,18.3,27000.0,0.0
10,15.0,77.8,1019.0,9.0,18.3,27000.0,0,1,14.4,1260,19,8,2023,10.0,1019.0,8.0,17.5,25000.0,0.0
10,16.0,81.4,1019.0,8.0,17.5,25000.0,0,1,14.3,1320,19,8,2023,9.0,1019.0,8.0,16.6,23000.0,0.0
9,15.0,85.0,1019.0,8.0,16.6,23000.0,0,1,14.1,1380,19,8,2023,9.0,1019.0,7.0,16.0,18000.0,0.0
9,15.0,89.5,1019.0,7.0,16.0,18000.0,0,1,14.3,0,20,8,2023,11.0,1020.0,6.0,15.7,13000.0,7.0
11,10.0,93.1,1020.0,6.0,15.7,13000.0,7,1,14.6,60,20,8,2023,10.0,1020.0,3.0,15.1,13000.0,2.0
10,8.0,93.7,1020.0,3.0,15.1,13000.0,2,1,14.1,120,20,8,2023,9.0,1020.0,6.0,15.9,14000.0,8.0
9,9.0,93.1,1020.0,6.0,15.9,14000.0,8,1,14.8,180,20,8,2023,9.0,1020.0,6.0,15.3,12000.0,0.0
9,9.0,94.3,1020.0,6.0,15.3,12000.0,0,1,14.4,240,20,8,2023,9.0,1021.0,6.0,15.5,12000.0,7.0
9,9.0,95.6,1021.0,6.0,15.5,12000.0,7,1,14.8,300,20,8,2023,9.0,1021.0,7.0,15.9,14000.0,3.0
9,13.0,93.1,1021.0,7.0,15.9,14000.0,3,1,14.8,360,20,8,2023,10.0,1021.0,7.0,17.2,17000.0,3.0
10,13.0,89.7,1021.0,7.0,17.2,17000.0,3,1,15.5,420,20,8,2023,10.0,1022.0,10.0,19.0,26000.0,7.0
10,17.0,79.4,1022.0,10.0,19.0,26000.0,7,1,15.4,480,20,8,2023,10.0,1022.0,8.0,19.6,29000.0,7.0
10,15.0,74.1,1022.0,8.0,19.6,29000.0,7,1,14.9,540,20,8,2023,9.0,1022.0,10.0,22.0,50000.0,1.0
9,19.0,62.6,1022.0,10.0,22.0,50000.0,1,1,14.6,600,20,8,2023,13.0,1022.0,8.0,21.6,45000.0,8.0
13,19.0,64.9,1022.0,8.0,21.6,45000.0,8,1,14.8,660,20,8,2023,10.0,1022.0,9.0,23.7,45000.0,3.0
10,17.0,59.4,1022.0,9.0,23.7,45000.0,3,0,15.4,720,20,8,2023,11.0,1021.0,9.0,24.7,55000.0,1.0
11,17.0,52.4,1021.0,9.0,24.7,55000.0,1,0,14.4,780,20,8,2023,11.0,1021.0,11.0,23.8,60000.0,8.0
11,18.0,51.1,1021.0,11.0,23.8,60000.0,8,0,13.2,840,20,8,2023,10.0,1021.0,14.0,24.8,60000.0,1.0
10,22.0,47.8,1021.0,14.0,24.8,60000.0,1,0,13.1,900,20,8,2023,10.0,1021.0,11.0,25.0,45000.0,3.0
10,22.0,50.5,1021.0,11.0,25.0,45000.0,3,0,14.1,960,20,8,2023,10.0,1021.0,11.0,25.0,45000.0,3.0
10,22.0,50.5,1021.0,11.0,25.0,45000.0,3,0,14.1,960,20,8,2023,11.0,1021.0,14.0,23.5,55000.0,3.0
11,22.0,53.5,1021.0,14.0,23.5,55000.0,3,0,13.6,1020,20,8,2023,11.0,1021.0,11.0,22.3,50000.0,1.0
11,19.0,57.6,1021.0,11.0,22.3,50000.0,1,2,13.6,1080,20,8,2023,11.0,1022.0,10.0,21.7,45000.0,1.0
11,17.0,62.9,1022.0,10.0,21.7,45000.0,1,1,14.4,1140,20,8,2023,10.0,1022.0,9.0,20.4,40000.0,0.0
10,17.0,69.5,1022.0,9.0,20.4,40000.0,0,1,14.7,1200,20,8,2023,11.0,1023.0,8.0,19.1,35000.0,0.0
11,17.0,77.9,1023.0,8.0,19.1,35000.0,0,1,15.2,1260,20,8,2023,11.0,1023.0,8.0,18.4,30000.0,0.0
11,15.0,82.5,1023.0,8.0,18.4,30000.0,0,1,15.4,1320,20,8,2023,11.0,1023.0,7.0,16.7,28000.0,0.0
11,11.0,87.9,1023.0,7.0,16.7,28000.0,0,1,14.7,1380,20,8,2023,11.0,1023.0,7.0,16.1,26000.0,0.0
11,11.0,90.8,1023.0,7.0,16.1,26000.0,0,1,14.6,0,21,8,2023,11.0,1023.0,6.0,15.6,21000.0,0.0
11,9.0,92.5,1023.0,6.0,15.6,21000.0,0,1,14.4,60,21,8,2023,12.0,1023.0,5.0,14.6,18000.0,2.0
12,8.0,93.7,1023.0,5.0,14.6,18000.0,2,2,13.6,120,21,8,2023,12.0,1023.0,8.0,15.1,14000.0,8.0
12,15.0,95.5,1023.0,8.0,15.1,14000.0,8,1,14.4,180,21,8,2023,12.0,1024.0,8.0,15.2,17000.0,8.0
12,11.0,95.0,1024.0,8.0,15.2,17000.0,8,1,14.4,240,21,8,2023,13.0,1024.0,7.0,15.3,21000.0,8.0
13,11.0,94.3,1024.0,7.0,15.3,21000.0,8,1,14.4,300,21,8,2023,11.0,1024.0,8.0,15.7,19000.0,8.0
11,11.0,91.9,1024.0,8.0,15.7,19000.0,8,1,14.4,360,21,8,2023,12.0,1024.0,9.0,15.7,18000.0,8.0
12,13.0,90.8,1024.0,9.0,15.7,18000.0,8,1,14.2,420,21,8,2023,11.0,1024.0,7.0,17.2,40000.0,8.0
11,11.0,83.4,1024.0,7.0,17.2,40000.0,8,1,14.4,480,21,8,2023,11.0,1024.0,7.0,18.6,40000.0,8.0
